"drug","synonym"
"humira","adalimumab"
"humira","Amjevita"
"humira","Cyltezo"
"humira","Hyrimoz"
"humira","Hulio"
"humira","Hadlima"
"humira","Abrilada"
"enbrel","Etanercept"
"enbrel","Benepali"
"enbrel","Erelzi"
"enbrel","Brenzys"
"zantac","Ranitidine"
"zantac","GenRx Ranitidine"
"zantac","Apo-Ranitidine"
"zantac","Zantac"
"zantac","Equate Acid Reducer"
"zantac","Wal-Zan."
"revlimid","Lenalidomide"
"revlimid","CC-5013"
"dupixent","Dupilumab"
"dupixent","Dupixent"
"aspirin","Acetylsalicylic acid"
"aspirin","ASA"
"aspirin","Bayer"
"aspirin","Bufferin"
"aspirin","Ecotrin"
"aspirin","Excedrin"
"aspirin","St. Joseph"
"metformin","Glucophage"
"metformin","Glucophage XR"
"metformin","Fortamet"
"metformin","Glumetza"
"metformin","Riomet"
"amlodipine","Norvasc"
"amlodipine","Istin"
"amlodipine","Amlostin"
"amlodipine","Amdixal"
"amlodipine","Amlocard"
"amlodipine","Amlosyn"
"methotrexate","Rheumatrex"
"methotrexate","Trexall"
"atorvastatin","Lipitor"
"atorvastatin","Torvast"
"atorvastatin","Sortis"
"atorvastatin","Atorlip"
"atorvastatin","Zarator."
"prednisone.","Deltasone"
"prednisone.","Rayos"
"prednisone","Deltasone"
"prednisone","Rayos"
"prednisone","Prednisolone"
"lyrica","pregabalin"
"lyrica","Lyrica CR"
"lyrica","Lyrica"
"lyrica","Lyrica with Aspartame"
"aspirin.","Acetylsalicylic acid"
"aspirin.","ASA"
"aspirin.","Bufferin"
"aspirin.","Ecotrin"
"aspirin.","Excedrin"
"aspirin.","St. Joseph"
"aspirin.","Aspro"
"aspirin.","Disprin"
"aspirin.","Aspilet"
"aspirin.","Colfarit"
"aspirin.","Easprin"
"eliquis","Apixaban"
"eliquis","Savaysa"
"eliquis","Eliquis."
"proactiv md adapalene acne treatment","Adapalene"
"proactiv md adapalene acne treatment","Differin"
"proactiv md adapalene acne treatment","Proactiv Adapalene"
"proactiv md adapalene acne treatment","Epiduo"
"proactiv md adapalene acne treatment","La Roche-Posay Adapalene"
"tysabri","Antegren"
"tysabri","NATALIZUMAB"
"xarelto","Rivaroxaban"
"xarelto","Savaysa."
"lipitor","Atorvastatin"
"lipitor","Torvast"
"lipitor","Totalip"
"lipitor","Xarator"
"lipitor","Lipostatin"
"synthroid","Levothyroxine"
"synthroid","Levoxyl"
"synthroid","Tirosint"
"synthroid","Unithroid."
"pantoprazole","Protonix"
"pantoprazole","Protonix IV"
"pantoprazole","Pantoloc"
"pantoprazole","Eupantol"
"pantoprazole","Somac"
"pantoprazole","Pantecta"
"pantoprazole","Zurcal"
"pantoprazole","Pentaloc"
"pantoprazole","Controloc"
"pantoprazole","Nocturnal."
"omeprazole.","Prilosec"
"omeprazole.","Losec"
"omeprazole.","Prilosec OTC"
"omeprazole.","Omepral"
"omeprazole.","Zegerid"
"omeprazole.","Ultop"
"omeprazole.","Omez."
"oxycontin","Oxycodone ER"
"oxycontin","Xtampza ER"
"oxycontin","OxyIR"
"oxycontin","Percolone"
"oxycontin","Roxicodone."
"nexium","esomeprazole"
"nexium","esomeprazol"
"nexium","sompraz"
"nexium","izra"
"remicade","Inflectra"
"remicade","Renflexis"
"remicade","Ixifi"
"remicade","Remsima"
"vitamin d","cholecalciferol"
"vitamin d","ergocalciferol"
"vitamin d","calcitriol"
"vitamin d","alfacalcidol"
"vitamin d","dihydrotachysterol"
"gabapentin.","Neurontin"
"gabapentin.","Gralise"
"gabapentin.","Horizant"
