"drug","synonym"
"humira","Adalimumab"
"humira","Imraldi"
"humira","Amgevita"
"humira","Hyrimoz"
"humira","Hadlima."
"enbrel","Etanercept"
"enbrel","Erelzi"
"zantac","Ranitidine"
"zantac","Ranitidine hydrochloride"
"zantac","Ausran"
"zantac","R-Loc"
"revlimid","Lenalidomide"
"revlimid","Celgene"
"dupixent","Dupilumab"
"dupixent","Dupixent"
"aspirin","Acetylsalicylic acid"
"aspirin","Bayer"
"aspirin","Bufferin"
"aspirin","Ecotrin"
"aspirin","Excedrin"
"aspirin","Anacin"
"aspirin","Aspro."
"metformin","Glucophage"
"metformin","Glumetza"
"metformin","Fortamet"
"metformin","Riomet"
"metformin","Diaformin"
"amlodipine","Norvasc"
"amlodipine","Istin"
"amlodipine","Amloc"
"amlodipine","Amodip"
"amlodipine","Amlopine"
"methotrexate","Trexall"
"methotrexate","Rheumatrex"
"methotrexate","Folex"
"methotrexate","Maxtrex"
"methotrexate","Methotrexate Sodium"
"atorvastatin","Lipitor"
"atorvastatin","Torvast"
"atorvastatin","Torvast"
"atorvastatin","Sortis"
"atorvastatin","Atorlip"
"atorvastatin","Atorfit"
"prednisone.","Deltasone"
"prednisone.","Rayos"
"prednisone.","Sterapred"
"prednisone","Deltasone"
"prednisone","Rayos"
"prednisone","Prednicot"
"prednisone","Sterapred"
"prednisone","Prednisolone"
"lyrica","Pregabalin"
"lyrica","Lyrica CR"
"aspirin.","Acetylsalicylic acid"
"aspirin.","Bayer"
"aspirin.","Ecotrin"
"aspirin.","Bufferin"
"aspirin.","St. Joseph."
"eliquis","Apixaban"
"eliquis","Savel"
"eliquis","Eliquis"
"eliquis","Avixaban"
"proactiv md adapalene acne treatment","Differin"
"proactiv md adapalene acne treatment","Adapalene"
"proactiv md adapalene acne treatment","Topical Retinoid"
"tysabri","Antegren"
"tysabri","Natalizumab"
"xarelto","Rivaroxaban"
"xarelto","Xarelto"
"xarelto","Rivaroxaban sodium"
"lipitor","Atorvastatin"
